technique,bpIds,cols,seed,breakpointsPerLine,actionsCount,testcase,linesSum,linesDiff,linesDiffByLinesSum
cascaded-0-bp-sliding,true,true,0,1.0,0,sunspider-string-unpack-code,327,73,0.223242
cascaded-0-bp-sliding,true,true,0,1.0,0,sunspider-string-validate-input,368,87,0.236413
cascaded-1-resolved-bp-locations,false,false,0,0.1,100,js-puzzle-10,2,0,0.000000
cascaded-1-resolved-bp-locations,false,false,0,0.1,100,js-puzzle-11,2,0,0.000000
cascaded-1-resolved-bp-locations,false,false,0,0.1,100,js-puzzle-1,2,0,0.000000
cascaded-1-resolved-bp-locations,false,false,0,0.1,100,js-puzzle-2,2,0,0.000000
cascaded-1-resolved-bp-locations,false,false,0,0.1,100,js-puzzle-3,2,0,0.000000
cascaded-1-resolved-bp-locations,false,false,0,0.1,100,js-puzzle-4,2,0,0.000000
cascaded-1-resolved-bp-locations,false,false,0,0.1,100,js-puzzle-5,2,0,0.000000
cascaded-1-resolved-bp-locations,false,false,0,0.1,100,js-puzzle-6,2,0,0.000000
cascaded-1-resolved-bp-locations,false,false,0,0.1,100,js-puzzle-7,2,0,0.000000
cascaded-1-resolved-bp-locations,false,false,0,0.1,100,js-puzzle-8,2,0,0.000000
cascaded-1-resolved-bp-locations,false,false,0,0.1,100,js-puzzle-9,2,0,0.000000
cascaded-1-resolved-bp-locations,false,false,0,0.1,100,manual-bindings,8,0,0.000000
cascaded-1-resolved-bp-locations,false,false,0,0.1,100,manual-multiline-decls,2,0,0.000000
cascaded-1-resolved-bp-locations,false,false,0,0.1,100,manual-wtf,16,0,0.000000
cascaded-1-resolved-bp-locations,false,false,0,0.1,100,sunspider-3d-cube,70,0,0.000000
cascaded-1-resolved-bp-locations,false,false,0,0.1,100,sunspider-3d-morph,12,0,0.000000
cascaded-1-resolved-bp-locations,false,false,0,0.1,100,sunspider-3d-raytrace,88,0,0.000000
cascaded-1-resolved-bp-locations,false,false,0,0.1,100,sunspider-access-binary-trees,10,0,0.000000
cascaded-1-resolved-bp-locations,false,false,0,0.1,100,sunspider-access-fannkuch,14,0,0.000000
cascaded-1-resolved-bp-locations,false,false,0,0.1,100,sunspider-access-nbody,34,0,0.000000
cascaded-1-resolved-bp-locations,false,false,0,0.1,100,sunspider-access-nsieve,8,0,0.000000
cascaded-1-resolved-bp-locations,false,false,0,0.1,100,sunspider-bitops-3bit-bits-in-byte,8,0,0.000000
cascaded-1-resolved-bp-locations,false,false,0,0.1,100,sunspider-bitops-bits-in-byte,6,0,0.000000
cascaded-1-resolved-bp-locations,false,false,0,0.1,100,sunspider-bitops-bitwise-and,6,0,0.000000
cascaded-1-resolved-bp-locations,false,false,0,0.1,100,sunspider-bitops-nsieve-bits,8,0,0.000000
cascaded-1-resolved-bp-locations,false,false,0,0.1,100,sunspider-controlflow-recursive,6,0,0.000000
cascaded-1-resolved-bp-locations,false,false,0,0.1,100,sunspider-crypto-aes,84,0,0.000000
cascaded-1-resolved-bp-locations,false,false,0,0.1,100,sunspider-crypto-md5,58,0,0.000000
cascaded-1-resolved-bp-locations,false,false,0,0.1,100,sunspider-crypto-sha1,44,0,0.000000
cascaded-1-resolved-bp-locations,false,false,0,0.1,100,sunspider-date-format-tofte,60,0,0.000000
cascaded-1-resolved-bp-locations,false,false,0,0.1,100,sunspider-date-format-xparb,84,0,0.000000
cascaded-1-resolved-bp-locations,false,false,0,0.1,100,sunspider-math-cordic,20,0,0.000000
cascaded-1-resolved-bp-locations,false,false,0,0.1,100,sunspider-math-partial-sums,8,0,0.000000
cascaded-1-resolved-bp-locations,false,false,0,0.1,100,sunspider-math-spectral-norm,12,0,0.000000
cascaded-1-resolved-bp-locations,false,false,0,0.1,100,sunspider-regexp-dna,344,0,0.000000
cascaded-1-resolved-bp-locations,false,false,0,0.1,100,sunspider-string-base64,26,0,0.000000
cascaded-1-resolved-bp-locations,false,false,0,0.1,100,sunspider-string-fasta,18,0,0.000000
cascaded-1-resolved-bp-locations,false,false,0,0.1,100,sunspider-string-tagcloud,54,0,0.000000
cascaded-1-resolved-bp-locations,false,false,0,0.1,100,sunspider-string-unpack-code,16,0,0.000000
cascaded-1-resolved-bp-locations,false,false,0,0.1,100,sunspider-string-validate-input,18,0,0.000000
cascaded-1-resolved-bp-locations,false,false,0,0.1,10,sunspider-3d-cube,70,0,0.000000
cascaded-1-resolved-bp-locations,false,false,0,0.1,10,sunspider-3d-morph,12,0,0.000000
cascaded-1-resolved-bp-locations,false,false,0,0.1,10,sunspider-3d-raytrace,88,0,0.000000
cascaded-1-resolved-bp-locations,false,false,0,0.1,10,sunspider-access-binary-trees,10,0,0.000000
cascaded-1-resolved-bp-locations,false,false,0,0.1,10,sunspider-access-fannkuch,14,0,0.000000
cascaded-1-resolved-bp-locations,false,false,0,0.1,10,sunspider-access-nbody,34,0,0.000000
cascaded-1-resolved-bp-locations,false,false,0,0.1,10,sunspider-access-nsieve,8,0,0.000000
cascaded-1-resolved-bp-locations,false,false,0,0.1,10,sunspider-bitops-3bit-bits-in-byte,8,0,0.000000
cascaded-1-resolved-bp-locations,false,false,0,0.1,10,sunspider-bitops-bits-in-byte,6,0,0.000000
cascaded-1-resolved-bp-locations,false,false,0,0.1,10,sunspider-bitops-bitwise-and,6,0,0.000000
cascaded-1-resolved-bp-locations,false,false,0,0.1,10,sunspider-bitops-nsieve-bits,8,0,0.000000
cascaded-1-resolved-bp-locations,false,false,0,0.1,10,sunspider-controlflow-recursive,6,0,0.000000
cascaded-1-resolved-bp-locations,false,false,0,0.1,10,sunspider-crypto-aes,84,0,0.000000
cascaded-1-resolved-bp-locations,false,false,0,0.1,10,sunspider-crypto-md5,58,0,0.000000
cascaded-1-resolved-bp-locations,false,false,0,0.1,10,sunspider-crypto-sha1,44,0,0.000000
cascaded-1-resolved-bp-locations,false,false,0,0.1,10,sunspider-date-format-tofte,60,0,0.000000
cascaded-1-resolved-bp-locations,false,false,0,0.1,10,sunspider-date-format-xparb,84,0,0.000000
cascaded-1-resolved-bp-locations,false,false,0,0.1,10,sunspider-math-cordic,20,0,0.000000
cascaded-1-resolved-bp-locations,false,false,0,0.1,10,sunspider-math-partial-sums,8,0,0.000000
cascaded-1-resolved-bp-locations,false,false,0,0.1,10,sunspider-math-spectral-norm,12,0,0.000000
cascaded-1-resolved-bp-locations,false,false,0,0.1,10,sunspider-regexp-dna,344,0,0.000000
