naive,1240,117024,608742,195552,0.321239539903604
cascaded,1512,182969,280251,21625,0.077162971764597
determinism,480,43576,370781,4872,0.013139831868408
inverse,472,55653,38280,40,0.001044932079415
order,240,4576,4576,39,0.008522727272727
transform,712,61394,354174,3489,0.009851090142134
,4656,465192,1656804,225617,0.13617603530653
