bpIds,cols,seed,breakpointsPerLine,actionsCount,testcase,linesSum,linesDiff,linesDiffByLinesSum
true,false,0,1.0,10,access-fannkuch,114,40,0.350877
true,false,0,1.0,10,access-nbody,228,88,0.385965
true,false,0,1.0,10,access-nsieve,66,16,0.242424
true,false,0,1.0,10,bitops-3bit-bits-in-byte,64,27,0.421875
true,false,0,1.0,10,bitops-bits-in-byte,42,6,0.142857
true,false,0,1.0,10,bitops-bitwise-and,68,29,0.426471
true,false,0,1.0,10,bitops-nsieve-bits,60,22,0.366667
true,false,0,1.0,10,controlflow-recursive,40,3,0.075000
true,false,0,1.0,10,crypto-aes,596,280,0.469799
true,false,0,1.0,10,crypto-md5,448,209,0.466518
true,false,0,1.0,10,crypto-sha1,308,142,0.461039
true,false,0,1.0,10,date-format-tofte,452,223,0.493363
true,false,0,1.0,10,date-format-xparb,604,283,0.468543
true,false,0,1.0,10,math-cordic,172,76,0.441860
true,false,0,1.0,10,math-partial-sums,76,34,0.447368
true,false,0,1.0,10,math-spectral-norm,88,34,0.386364
true,false,0,1.0,10,regexp-dna,3406,1686,0.495009
true,false,0,1.0,10,string-base64,218,98,0.449541
true,false,0,1.0,10,string-fasta,126,50,0.396825
true,false,0,1.0,10,string-tagcloud,436,215,0.493119
true,false,0,1.0,10,string-unpack-code,146,66,0.452055
true,false,0,1.0,10,string-validate-input,140,38,0.271429
true,true,0,1.0,10,3d-cube,550,272,0.494545
true,true,0,1.0,10,3d-morph,112,56,0.500000
true,true,0,1.0,10,3d-raytrace,716,355,0.495810
true,true,0,1.0,10,access-binary-trees,84,40,0.476190
true,true,0,1.0,10,access-fannkuch,114,55,0.482456
true,true,0,1.0,10,access-nbody,228,107,0.469298
true,true,0,1.0,10,access-nsieve,66,30,0.454545
true,true,0,1.0,10,bitops-3bit-bits-in-byte,64,29,0.453125
true,true,0,1.0,10,bitops-bits-in-byte,42,15,0.357143
true,true,0,1.0,10,bitops-bitwise-and,68,29,0.426471
true,true,0,1.0,10,bitops-nsieve-bits,60,29,0.483333
true,true,0,1.0,10,controlflow-recursive,48,24,0.500000
true,true,0,1.0,10,crypto-aes,596,296,0.496644
