Browser,SunSpider testcase,# breakpoints,# diff lines/combination
firefox,bitops-3bit-bits-in-byte,41,0.02032520325203252
firefox,bitops-bits-in-byte,1,0.25
firefox,bitops-bits-in-byte,3,0.08333333333333333
firefox,bitops-bits-in-byte,6,0.041666666666666664
firefox,bitops-bits-in-byte,15,0.016666666666666666
firefox,bitops-bits-in-byte,31,0.03225806451612903
firefox,bitops-bitwise-and,1,0.0
firefox,bitops-bitwise-and,3,0.0
firefox,bitops-bitwise-and,7,0.0
firefox,bitops-bitwise-and,18,0.0
firefox,bitops-bitwise-and,36,0.016203703703703703
firefox,bitops-nsieve-bits,2,0.0
firefox,bitops-nsieve-bits,4,0.0
firefox,bitops-nsieve-bits,8,0.03125
firefox,bitops-nsieve-bits,21,0.03968253968253968
firefox,bitops-nsieve-bits,43,0.06201550387596899
firefox,controlflow-recursive,1,0.0
firefox,controlflow-recursive,3,0.0
firefox,controlflow-recursive,6,0.0
firefox,controlflow-recursive,16,0.015625
firefox,controlflow-recursive,33,0.03787878787878788
firefox,crypto-aes,21,0.027777777777777776
firefox,crypto-aes,42,0.013888888888888888
firefox,crypto-aes,85,0.020588235294117647
firefox,crypto-aes,213,0.025821596244131457
firefox,crypto-aes,427,0.04039812646370024
firefox,crypto-md5,14,0.0
firefox,crypto-md5,29,0.0
firefox,crypto-md5,58,0.014367816091954023
firefox,crypto-md5,146,0.02511415525114155
firefox,crypto-md5,293,0.0270193401592719
firefox,crypto-sha1,12,0.0
firefox,crypto-sha1,24,0.0
firefox,crypto-sha1,48,0.13020833333333334
firefox,crypto-sha1,121,0.011707988980716254
firefox,crypto-sha1,243,0.028463648834019206
firefox,date-format-tofte,15,0.0
firefox,date-format-tofte,30,0.0
firefox,date-format-tofte,60,0.009722222222222222
firefox,date-format-tofte,151,0.048013245033112585
firefox,date-format-tofte,302,0.06898454746136866
firefox,date-format-xparb,21,0.015873015873015872
firefox,date-format-xparb,42,0.007936507936507936
firefox,date-format-xparb,84,0.022817460317460316
firefox,date-format-xparb,210,0.036904761904761905
firefox,date-format-xparb,421,0.06334125098970704
firefox,math-cordic,5,0.15
firefox,math-cordic,10,0.0
firefox,math-cordic,21,0.011904761904761904
firefox,math-cordic,53,0.031446540880503145
firefox,math-cordic,107,0.040498442367601244
firefox,math-partial-sums,2,0.0
firefox,math-partial-sums,4,0.0
firefox,math-partial-sums,9,0.0
firefox,math-partial-sums,23,0.03260869565217391
firefox,math-partial-sums,46,0.043478260869565216
firefox,math-spectral-norm,3,0.2222222222222222
firefox,math-spectral-norm,6,0.041666666666666664
firefox,math-spectral-norm,12,0.04861111111111111
firefox,math-spectral-norm,30,0.08333333333333333
firefox,math-spectral-norm,60,0.058333333333333334
firefox,regexp-dna,86,0.0
firefox,regexp-dna,172,0.0
firefox,regexp-dna,344,0.0
firefox,regexp-dna,861,0.0
firefox,regexp-dna,1722,7.259001161440186E-4
firefox,string-base64,6,0.0
firefox,string-base64,13,0.0
firefox,string-base64,27,0.0
firefox,string-base64,69,0.036231884057971016
firefox,string-base64,138,0.0320048309178744
firefox,string-fasta,4,0.0
firefox,string-fasta,9,0.0
firefox,string-fasta,18,0.037037037037037035
firefox,string-fasta,45,0.046296296296296294
firefox,string-fasta,91,0.038461538461538464
firefox,string-tagcloud,13,0.0
firefox,string-tagcloud,27,0.009259259259259259
firefox,string-tagcloud,54,0.010802469135802469
firefox,string-tagcloud,136,0.04044117647058824
firefox,string-tagcloud,272,0.05422794117647059
firefox,string-unpack-code,4,0.0
firefox,string-unpack-code,8,0.03125
firefox,string-unpack-code,16,0.036458333333333336
firefox,string-unpack-code,41,0.21951219512195122
firefox,string-unpack-code,82,0.019308943089430895
firefox,string-validate-input,4,0.0625
firefox,string-validate-input,9,0.027777777777777776
firefox,string-validate-input,18,0.027777777777777776
firefox,string-validate-input,46,0.050724637681159424
firefox,string-validate-input,93,0.05555555555555555
