Browser,Transformation,SunSpider testcase,# diff lines/combination
chrome,mangle-esmangle,string-validate-input,0.0
chrome,mangle-uglifyjs2,3d-cube,0.0
chrome,mangle-uglifyjs2,3d-morph,0.0
chrome,mangle-uglifyjs2,3d-raytrace,0.0
chrome,mangle-uglifyjs2,access-binary-trees,0.0
chrome,mangle-uglifyjs2,access-fannkuch,0.0
chrome,mangle-uglifyjs2,access-nbody,0.0
chrome,mangle-uglifyjs2,access-nsieve,0.0
chrome,mangle-uglifyjs2,bitops-3bit-bits-in-byte,0.0
chrome,mangle-uglifyjs2,bitops-bits-in-byte,0.0
chrome,mangle-uglifyjs2,bitops-bitwise-and,0.0
chrome,mangle-uglifyjs2,bitops-nsieve-bits,0.0
chrome,mangle-uglifyjs2,controlflow-recursive,0.0
chrome,mangle-uglifyjs2,crypto-aes,0.0
chrome,mangle-uglifyjs2,crypto-md5,0.0
chrome,mangle-uglifyjs2,crypto-sha1,0.0
chrome,mangle-uglifyjs2,date-format-tofte,0.0
chrome,mangle-uglifyjs2,date-format-xparb,0.0
chrome,mangle-uglifyjs2,math-cordic,0.0
chrome,mangle-uglifyjs2,math-partial-sums,0.0
chrome,mangle-uglifyjs2,math-spectral-norm,0.0
chrome,mangle-uglifyjs2,regexp-dna,0.0
chrome,mangle-uglifyjs2,string-base64,0.0
chrome,mangle-uglifyjs2,string-fasta,0.0
chrome,mangle-uglifyjs2,string-tagcloud,0.0
chrome,mangle-uglifyjs2,string-unpack-code,0.0
chrome,mangle-uglifyjs2,string-validate-input,0.0
chrome,randomize-funcs,3d-cube,0.0
chrome,randomize-funcs,3d-morph,0.0
chrome,randomize-funcs,3d-raytrace,0.002053388090349076
chrome,randomize-funcs,access-binary-trees,0.03468208092485549
chrome,randomize-funcs,access-fannkuch,0.0
chrome,randomize-funcs,access-nbody,0.010638297872340425
chrome,randomize-funcs,access-nsieve,0.0
chrome,randomize-funcs,bitops-3bit-bits-in-byte,0.0
chrome,randomize-funcs,bitops-bits-in-byte,0.0
chrome,randomize-funcs,bitops-bitwise-and,0.0
chrome,randomize-funcs,bitops-nsieve-bits,0.0
chrome,randomize-funcs,controlflow-recursive,0.0
chrome,randomize-funcs,crypto-aes,0.003770739064856712
chrome,randomize-funcs,crypto-md5,0.013918629550321198
chrome,randomize-funcs,crypto-sha1,0.0
chrome,randomize-funcs,date-format-tofte,0.0
chrome,randomize-funcs,date-format-xparb,0.0
chrome,randomize-funcs,math-cordic,0.0
chrome,randomize-funcs,math-partial-sums,0.0
chrome,randomize-funcs,math-spectral-norm,0.0
chrome,randomize-funcs,regexp-dna,0.0
chrome,randomize-funcs,string-base64,0.016166281755196306
chrome,randomize-funcs,string-fasta,0.0
chrome,randomize-funcs,string-tagcloud,0.5955473098330241
chrome,randomize-funcs,string-unpack-code,0.0
chrome,randomize-funcs,string-validate-input,0.08480565371024736
firefox,hoist-funcs,3d-cube,0.08727272727272728
firefox,hoist-funcs,3d-morph,0.15151515151515152
firefox,hoist-funcs,3d-raytrace,0.008689355539464157
firefox,hoist-funcs,access-binary-trees,0.16766467065868262
firefox,hoist-funcs,access-fannkuch,0.0
firefox,hoist-funcs,access-nbody,0.0
firefox,hoist-funcs,access-nsieve,0.0
firefox,hoist-funcs,bitops-3bit-bits-in-byte,0.0
firefox,hoist-funcs,bitops-bits-in-byte,0.0
firefox,hoist-funcs,bitops-bitwise-and,0.0
firefox,hoist-funcs,bitops-nsieve-bits,0.0
firefox,hoist-funcs,controlflow-recursive,0.0
firefox,hoist-funcs,crypto-aes,0.0
firefox,hoist-funcs,crypto-md5,0.0
firefox,hoist-funcs,crypto-sha1,0.0
firefox,hoist-funcs,date-format-tofte,0.0
firefox,hoist-funcs,date-format-xparb,0.0
firefox,hoist-funcs,math-cordic,0.0
firefox,hoist-funcs,math-partial-sums,0.0
firefox,hoist-funcs,math-spectral-norm,0.0
firefox,hoist-funcs,regexp-dna,0.0
firefox,hoist-funcs,string-base64,0.1066350710900474
firefox,hoist-funcs,string-fasta,0.0
firefox,hoist-funcs,string-tagcloud,0.0024271844660194173
firefox,hoist-funcs,string-unpack-code,0.0
firefox,hoist-funcs,string-validate-input,0.10996563573883161
firefox,hoist-randomize-funcs,3d-cube,0.009972801450589302
firefox,hoist-randomize-funcs,3d-morph,0.0
firefox,hoist-randomize-funcs,3d-raytrace,0.7561274509803921
firefox,hoist-randomize-funcs,access-binary-trees,0.0
firefox,hoist-randomize-funcs,access-fannkuch,0.0
firefox,hoist-randomize-funcs,access-nbody,0.0
firefox,hoist-randomize-funcs,access-nsieve,0.0
firefox,hoist-randomize-funcs,bitops-3bit-bits-in-byte,0.0
firefox,hoist-randomize-funcs,bitops-bits-in-byte,0.0
firefox,hoist-randomize-funcs,bitops-bitwise-and,0.0
firefox,hoist-randomize-funcs,bitops-nsieve-bits,0.0
firefox,hoist-randomize-funcs,controlflow-recursive,0.0
firefox,hoist-randomize-funcs,crypto-aes,7.680491551459293E-4
firefox,hoist-randomize-funcs,crypto-md5,0.001091703056768559
firefox,hoist-randomize-funcs,crypto-sha1,0.033766233766233764
firefox,hoist-randomize-funcs,date-format-tofte,0.0
firefox,hoist-randomize-funcs,date-format-xparb,0.0
firefox,hoist-randomize-funcs,math-cordic,0.0
firefox,hoist-randomize-funcs,math-partial-sums,0.0
firefox,hoist-randomize-funcs,math-spectral-norm,0.15168539325842698
firefox,hoist-randomize-funcs,regexp-dna,0.0
firefox,hoist-randomize-funcs,string-base64,0.1066350710900474
firefox,hoist-randomize-funcs,string-fasta,0.0
firefox,hoist-randomize-funcs,string-tagcloud,0.0024271844660194173
firefox,hoist-randomize-funcs,string-unpack-code,0.0
firefox,hoist-randomize-funcs,string-validate-input,0.010273972602739725
