breakpointsPerLine,actions,browser,testcase,ms
0.1,0,chrome,sunspider-date-format-xparb,619
0.1,0,chrome,sunspider-math-cordic,387
0.1,0,chrome,sunspider-math-partial-sums,329
0.1,0,chrome,sunspider-math-spectral-norm,370
0.1,0,chrome,sunspider-regexp-dna,1260
0.1,0,chrome,sunspider-string-base64,388
0.1,0,chrome,sunspider-string-fasta,374
0.1,0,chrome,sunspider-string-tagcloud,507
0.1,0,chrome,sunspider-string-unpack-code,368
0.1,0,chrome,sunspider-string-validate-input,389
0.1,0,chrome,js-puzzle-1,294
0.1,0,chrome,js-puzzle-2,289
0.1,0,chrome,js-puzzle-3,299
0.1,0,chrome,js-puzzle-4,307
0.1,0,chrome,js-puzzle-5,312
0.1,0,chrome,js-puzzle-6,282
0.1,0,chrome,js-puzzle-7,279
0.1,0,chrome,js-puzzle-8,314
0.1,0,chrome,js-puzzle-9,288
0.1,0,chrome,js-puzzle-10,285
0.1,0,chrome,js-puzzle-11,299
0.1,0,chrome,manual-bindings,328
0.1,0,chrome,manual-multiline-decls,318
0.1,0,chrome,manual-wtf,348
0.1,10,firefox,sunspider-3d-cube,1154
0.1,10,firefox,sunspider-3d-morph,1222
0.1,10,firefox,sunspider-3d-raytrace,1064
0.1,10,firefox,sunspider-access-binary-trees,1141
0.1,10,firefox,sunspider-access-fannkuch,852
0.1,10,firefox,sunspider-access-nbody,929
0.1,10,firefox,sunspider-access-nsieve,850
0.1,10,firefox,sunspider-bitops-3bit-bits-in-byte,900
0.1,10,firefox,sunspider-bitops-bits-in-byte,1133
0.1,10,firefox,sunspider-bitops-bitwise-and,687
0.1,10,firefox,sunspider-bitops-nsieve-bits,674
0.1,10,firefox,sunspider-controlflow-recursive,871
0.1,10,firefox,sunspider-crypto-aes,981
0.1,10,firefox,sunspider-crypto-md5,985
0.1,10,firefox,sunspider-crypto-sha1,874
0.1,10,firefox,sunspider-date-format-tofte,969
0.1,10,firefox,sunspider-date-format-xparb,917
0.1,10,firefox,sunspider-math-cordic,811
0.1,10,firefox,sunspider-math-partial-sums,799
0.1,10,firefox,sunspider-math-spectral-norm,1013
0.1,10,firefox,sunspider-regexp-dna,18334
0.1,10,firefox,sunspider-string-base64,866
0.1,10,firefox,sunspider-string-fasta,831
0.1,10,firefox,sunspider-string-tagcloud,1988
0.1,10,firefox,sunspider-string-unpack-code,1053
0.1,10,firefox,sunspider-string-validate-input,843
0.1,10,firefox,js-puzzle-1,651
0.1,10,firefox,js-puzzle-2,648
0.1,10,firefox,js-puzzle-3,651
0.1,10,firefox,js-puzzle-4,658
0.1,10,firefox,js-puzzle-5,646
0.1,10,firefox,js-puzzle-6,649
0.1,10,firefox,js-puzzle-7,672
0.1,10,firefox,js-puzzle-8,654
0.1,10,firefox,js-puzzle-9,657
0.1,10,firefox,js-puzzle-10,648
0.1,10,firefox,js-puzzle-11,648
0.1,10,firefox,manual-bindings,665
0.1,10,firefox,manual-multiline-decls,657
0.1,10,firefox,manual-wtf,774
0.1,10,chrome,sunspider-3d-cube,611
0.1,10,chrome,sunspider-3d-morph,344
0.1,10,chrome,sunspider-3d-raytrace,668
0.1,10,chrome,sunspider-access-binary-trees,384
0.1,10,chrome,sunspider-access-fannkuch,349
0.1,10,chrome,sunspider-access-nbody,447
0.1,10,chrome,sunspider-access-nsieve,348
0.1,10,chrome,sunspider-bitops-3bit-bits-in-byte,350
0.1,10,chrome,sunspider-bitops-bits-in-byte,321
0.1,10,chrome,sunspider-bitops-bitwise-and,334
0.1,10,chrome,sunspider-bitops-nsieve-bits,369
0.1,10,chrome,sunspider-controlflow-recursive,429
0.1,10,chrome,sunspider-crypto-aes,631
0.1,10,chrome,sunspider-crypto-md5,519
0.1,10,chrome,sunspider-crypto-sha1,480
0.1,10,chrome,sunspider-date-format-tofte,630
0.1,10,chrome,sunspider-date-format-xparb,591
0.1,10,chrome,sunspider-math-cordic,371
0.1,10,chrome,sunspider-math-partial-sums,330
0.1,10,chrome,sunspider-math-spectral-norm,357
0.1,10,chrome,sunspider-regexp-dna,1237
0.1,10,chrome,sunspider-string-base64,385
0.1,10,chrome,sunspider-string-fasta,371
0.1,10,chrome,sunspider-string-tagcloud,494
0.1,10,chrome,sunspider-string-unpack-code,380
0.1,10,chrome,sunspider-string-validate-input,378
0.1,10,chrome,js-puzzle-1,292
0.1,10,chrome,js-puzzle-2,287
0.1,10,chrome,js-puzzle-3,288
0.1,10,chrome,js-puzzle-4,307
0.1,10,chrome,js-puzzle-5,305
0.1,10,chrome,js-puzzle-6,287
0.1,10,chrome,js-puzzle-7,294
0.1,10,chrome,js-puzzle-8,284
0.1,10,chrome,js-puzzle-9,287
0.1,10,chrome,js-puzzle-10,300
0.1,10,chrome,js-puzzle-11,284
0.1,10,chrome,manual-bindings,332
0.1,10,chrome,manual-multiline-decls,300
0.1,10,chrome,manual-wtf,342
0.1,20,firefox,sunspider-3d-cube,1790
0.1,20,firefox,sunspider-3d-morph,1928
0.1,20,firefox,sunspider-3d-raytrace,1785
0.1,20,firefox,sunspider-access-binary-trees,1648
0.1,20,firefox,sunspider-access-fannkuch,1427
0.1,20,firefox,sunspider-access-nbody,1431
0.1,20,firefox,sunspider-access-nsieve,790
0.1,20,firefox,sunspider-bitops-3bit-bits-in-byte,1419
0.1,20,firefox,sunspider-bitops-bits-in-byte,1584
0.1,20,firefox,sunspider-bitops-bitwise-and,691
0.1,20,firefox,sunspider-bitops-nsieve-bits,670
0.1,20,firefox,sunspider-controlflow-recursive,1683
0.1,20,firefox,sunspider-crypto-aes,1635
0.1,20,firefox,sunspider-crypto-md5,1520
0.1,20,firefox,sunspider-crypto-sha1,1470
0.1,20,firefox,sunspider-date-format-tofte,1699
0.1,20,firefox,sunspider-date-format-xparb,1415
0.1,20,firefox,sunspider-math-cordic,1359
0.1,20,firefox,sunspider-math-partial-sums,1290
0.1,20,firefox,sunspider-math-spectral-norm,1540
0.1,20,firefox,sunspider-regexp-dna,17752
0.1,20,firefox,sunspider-string-base64,1442
0.1,20,firefox,sunspider-string-fasta,1358
0.1,20,firefox,sunspider-string-tagcloud,8810
