Browser,SunSpider testcase,# breakpoints,# diff lines/combination
firefox,bitops-nsieve-bits,26,0.07692307692307693
firefox,controlflow-recursive,1,0.0
firefox,controlflow-recursive,3,0.0
firefox,controlflow-recursive,6,0.0
firefox,controlflow-recursive,16,0.0
firefox,controlflow-recursive,20,0.029166666666666667
firefox,crypto-aes,21,0.031746031746031744
firefox,crypto-aes,42,0.013888888888888888
firefox,crypto-aes,85,0.014705882352941176
firefox,crypto-aes,202,0.028877887788778877
firefox,crypto-md5,14,0.0
firefox,crypto-md5,29,0.0
firefox,crypto-md5,58,0.022988505747126436
firefox,crypto-md5,146,0.015410958904109588
firefox,crypto-md5,156,0.10523504273504274
firefox,crypto-sha1,12,0.027777777777777776
firefox,crypto-sha1,24,0.020833333333333332
firefox,crypto-sha1,48,0.020833333333333332
firefox,crypto-sha1,109,0.04357798165137615
firefox,date-format-tofte,15,0.0
firefox,date-format-tofte,30,0.0
firefox,date-format-tofte,60,0.027777777777777776
firefox,date-format-tofte,151,0.04083885209713024
firefox,date-format-tofte,180,0.049074074074074076
firefox,date-format-xparb,21,0.0
firefox,date-format-xparb,42,0.0
firefox,date-format-xparb,84,0.00992063492063492
firefox,date-format-xparb,210,0.03253968253968254
firefox,date-format-xparb,236,0.03213276836158192
firefox,math-cordic,5,0.0
firefox,math-cordic,10,0.0
firefox,math-cordic,21,0.015873015873015872
firefox,math-cordic,43,0.013565891472868217
firefox,math-partial-sums,2,0.0
firefox,math-partial-sums,4,0.0
firefox,math-partial-sums,9,0.027777777777777776
firefox,math-partial-sums,23,0.036231884057971016
firefox,math-partial-sums,30,0.03611111111111111
firefox,math-spectral-norm,3,0.0
firefox,math-spectral-norm,6,0.0
firefox,math-spectral-norm,12,0.0
firefox,math-spectral-norm,30,0.011111111111111112
firefox,math-spectral-norm,36,0.006944444444444444
firefox,regexp-dna,26,0.0
firefox,string-base64,6,0.0
firefox,string-base64,13,0.0
firefox,string-base64,27,0.0
firefox,string-base64,51,0.00980392156862745
firefox,string-fasta,4,0.0
firefox,string-fasta,9,0.0
firefox,string-fasta,18,0.013888888888888888
firefox,string-fasta,45,0.018518518518518517
firefox,string-fasta,47,0.015957446808510637
firefox,string-tagcloud,13,0.0
firefox,string-tagcloud,27,0.0
firefox,string-tagcloud,54,0.015432098765432098
firefox,string-tagcloud,128,0.10221354166666667
firefox,string-unpack-code,4,0.0
firefox,string-unpack-code,8,0.03125
firefox,string-unpack-code,15,0.016666666666666666
firefox,string-validate-input,4,0.0625
firefox,string-validate-input,9,0.027777777777777776
firefox,string-validate-input,18,0.013888888888888888
firefox,string-validate-input,46,0.05434782608695652
firefox,string-validate-input,50,0.055
